priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,414,1,worry,5,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,150,1,risk of AIDS,1,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,244,1,worry,1,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,292,1,worry,2,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,333,1,worry,3,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,376,1,worry,4,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,440,1,worry,5,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,491,1,worried,1,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,42,1,serious,1,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,149,1,serious,2,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,157,1,serious,3,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,180,1,serious,4,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,182,1,serious,5,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,81,1,serious,1,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,304,1,serious,2,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,317,1,serious,3,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,351,1,serious,4,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,356,1,serious,5,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,34,1,serious,1,Review this page first; keyword density suggests possible relevant variable entries.,No
